Year,Month,Day,Flag Tsunami,Flag Earthquake,Volcano Name,Location,Country,Elevation,Volcano Type,Status,Volcanic Explosivity Index,Volcano : Deaths,Volcano : Deaths Description,Volcano : Missing,Volcano : Missing Description,Volcano : Injuries,Volcano : Injuries Description,Volcano : Damage (in M$),Volcano : Damage Description,Volcano : Houses destroyed,Volcano : Houses destroyed Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Coordinates,Earthquakes : Houses damaged Description,Total Effects : Houses Damaged Description
1903,,,,,Karthala,Indian O-W,Comoros,2361,Shield volcano,Historical,,17,Few (~1 to 50 deaths),,,,,,,,,17,Few (~1 to 50 deaths),,,,,,,,,-11.75,43.38,
1932,10,1,,,Kusatsu-Shirane,Honshu-Japan,Japan,2176,Stratovolcano,Historical,3,2,Few (~1 to 50 deaths),,,7.0,Few (~1 to 50 deaths),,,,,2,Few (~1 to 50 deaths),,,7.0,Few (~1 to 50 deaths),,,,,36.62,138.55,
1951,,,Tsunami,,Kavachi,Solomon Is-SW Pacifi,Solomon Is.,-20,Submarine volcano,Historical,2,,,,,,,,,,,,,,,,,,,,,-9.02,157.95,
1971,12,27,,,Kusatsu-Shirane,Honshu-Japan,Japan,2176,Stratovolcano,Historical,,6,Few (~1 to 50 deaths),,,,,,,,,6,Few (~1 to 50 deaths),,,,,,,,,36.62,138.55,
1991,10,24,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1580,Stratovolcano,Historical,1,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,1358,124792,
1995,4,7,,,Pacaya,Guatemala,Guatemala,2552,Complex volcano,Historical,3,1,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),1,Few (~1 to 50 houses),1,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),1,Few (~1 to 50 houses),14381,-90601,
1998,4,28,,,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,,1,Few (~1 to 50 deaths),,,,,,,,,,,,,,,,,,,19425,-155292,
1999,5,21,,,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,2,,,,,,,,,,,,,,,,,,,,,14473,-90.88,
2011,12,27,,,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,3,4,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,,,4,Few (~1 to 50 deaths),,,,Few (~1 to 50 deaths),,,,,0.8,127325,
2017,12,27,,,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,MODERATE (~$1 to $5 million),,,3.17,98392,
